x_acc,y_acc,z_acc,time
-0.10968518,-0.0011162758,0.08904934,1694881937366
-0.19871736,0.043843508,0.0805645,1694881937413
-0.15582728,0.42196155,-0.20504284,1694881937477
0.19023132,0.49578452,-0.085035324,1694881937540
0.08158183,0.55633736,-0.09633732,1694881937606
-0.26468897,-0.16086745,-0.27332687,1694881937669
-0.41434908,-0.3075769,-0.36540318,1694881937734
-1.4219757,-0.80018353,-0.7311182,1694881937802
-1.9067636,-1.304317,-0.9112654,1694881937866
0.0902434,0.043677807,0.11029148,1694881937931
0.32524735,-0.27780873,0.10585022,1694881937994
0.16575003,-0.57907,0.0701828,1694881938058
-2.1245213,0.19960737,7.9066143,1694881938119
-2.486361,-2.2020712,8.585802,1694881938185
-1.9383273,-4.17832,9.658154,1694881938248
-3.800911,-8.571205,-20.760445,1694881938312
-4.6660266,-7.702112,-21.535082,1694881938375
-4.974523,-5.538668,-22.672907,1694881938438
-2.694909,-8.107309,-20.881767,1694881938501
6.605858,-11.38603,-10.855884,1694881938565
5.774735,-12.42696,-9.367363,1694881938630
3.5675454,-12.269949,-9.690662,1694881938689
10.676124,-5.534415,7.068068,1694881938749
11.650101,-5.472987,6.3221035,1694881938813
12.926075,-7.452191,7.862739,1694881938877
-3.689146,-12.201004,-14.301927,1694881938939
-4.718194,-12.08324,-13.5654335,1694881939005
-7.557073,-10.694962,-11.579626,1694881939069
-6.6567774,-11.406587,-11.371061,1694881939131
-0.54900193,-2.8665862,-5.016049,1694881939195
-0.20706773,-3.1131988,-3.5327451,1694881939258
-2.0846143,-2.2971816,-3.0752804,1694881939325
17.75918,3.9605112,13.454524,1694881939384
17.928873,3.903553,14.165983,1694881939450
18.033388,3.993577,15.305603,1694881939513
-9.598796,-8.677817,1.1054859,1694881939578
-10.45009,-8.290982,1.1808085,1694881939641
-9.423836,-7.9527793,2.6249151,1694881939704
-8.375786,-7.0427237,4.212817,1694881939768
1.0620122,-11.564213,4.5005817,1694881939833
-0.6939721,-11.306473,3.945183,1694881939895
-0.48803616,-10.69639,4.458213,1694881939958
73.45934,24.321714,40.4854,1694881940019
73.43556,23.852388,40.069187,1694881940080
73.83314,24.879948,41.091293,1694881940145
-7.1045885,-12.609459,-1.0735674,1694881940211
-6.6479473,-11.037965,-0.46796036,1694881940273
-6.2690134,-12.155682,-0.6584358,1694881940334
-6.806695,-13.869701,-1.5739918,1694881940394
-3.8293476,-3.4592006,8.604079,1694881940457
-2.8896194,-3.5266263,8.905748,1694881940523
-3.9613352,-3.964979,8.038893,1694881940587
40.75028,2.3748684,45.1612,1694881940649
41.815746,2.8501673,46.149693,1694881940713
43.625923,6.0308714,48.383373,1694881940775
2.2302554,3.5182188,4.5149775,1694881940857
0.8642814,3.221085,4.183243,1694881940902
-0.6520996,4.908905,4.205203,1694881940964
-1.6105702,3.612489,3.3522701,1694881941027
-13.0358925,-8.286638,12.572292,1694881941092
-15.520319,-7.685298,11.398483,1694881941153
-16.926842,-7.0325866,10.276921,1694881941214
-6.9354577,-6.76414,-0.8825102,1694881941278
-7.0872717,-5.9654803,-1.1257129,1694881941340
-6.033293,-2.7705758,-1.1103225,1694881941407
65.16913,40.663246,-3.8600612,1694881941465
63.33316,39.463936,-3.9997535,1694881941529
62.391315,38.53651,-4.14891,1694881941592
62.81262,38.047153,-3.481204,1694881941658
-11.453048,-8.435009,0.4721923,1694881941723
-9.203604,-12.105394,2.095162,1694881941782
-8.926658,-11.134583,1.8833508,1694881941845
9.098529,8.525416,10.894184,1694881941907
7.8980517,10.00852,9.306215,1694881941972
10.448734,10.137063,10.031328,1694881942033
11.858373,-14.113827,-5.1236143,1694881942094
10.404582,-22.725098,-7.7761955,1694881942157
10.66516,-23.489397,-8.66142,1694881942220
7.029046,-20.499258,-6.7142677,1694881942284
34.768593,13.816983,-14.799415,1694881942350
39.792362,16.335663,-13.148122,1694881942411
40.5924,14.963713,-13.249332,1694881942477
-12.526809,-28.870758,26.87979,1694881942538
-12.542812,-27.997742,27.084354,1694881942600
-15.28046,-27.717575,26.456272,1694881942663
-10.806118,-2.946225,-4.413577,1694881942727
-9.3159685,-2.2250226,-3.817007,1694881942788
-8.57581,-2.5503387,-3.5627337,1694881942852
-7.8821983,-2.4632514,-3.4183016,1694881942915
43.19877,9.812358,36.25038,1694881942977
39.68112,9.81585,35.171944,1694881943043
38.957794,9.17679,34.80892,1694881943106
-4.995916,-2.1066346,0.19064999,1694881943168
-3.3460255,-5.180438,-0.33259583,1694881943233
-5.1811137,-5.073283,-1.1662931,1694881943293
-6.9431133,-3.5384364,1.608993,1694881943355
-6.8054996,-3.8591638,1.4881449,1694881943418
-5.6107016,-4.682217,1.7174954,1694881943483
-4.995583,-6.2721143,0.35978556,1694881943544
18.07637,-4.6639757,48.092102,1694881943606
17.728067,-4.032032,49.178185,1694881943669
17.349117,-3.917203,48.893707,1694881943732
-9.487627,-4.0185337,-3.255783,1694881943795
-9.801313,-4.8289833,-5.643493,1694881943859
-10.062597,-4.6672363,-5.626168,1694881943920
-6.2300997,-5.41485,1.8464025,1694881943982
-6.1583977,-5.499935,1.1202915,1694881944045
-6.258586,-5.1686306,-1.0452566,1694881944110
-6.114451,-5.178581,-1.3491223,1694881944171
-4.637113,-6.2664766,3.1227093,1694881944233
-4.1609273,-6.583289,4.0257072,1694881944298
-4.891968,-5.9443483,2.1969664,1694881944361
5.211944,-8.050272,38.96715,1694881944423
5.921365,-8.428708,41.45773,1694881944487
7.251814,-8.007442,44.480316,1694881944550
-6.5267735,-9.822011,-7.0141087,1694881944613
-7.2003164,-10.146886,-7.871898,1694881944675
-7.343565,-9.922451,-7.562826,1694881944737
-6.7132483,-9.521932,-6.6616974,1694881944801
-5.0020027,-10.602182,-1.6946177,1694881944863
-4.028596,-10.492741,-1.5826316,1694881944927
-4.1435905,-10.818394,-1.8470407,1694881944992
56.122902,23.563564,3.7210658,1694881945052
57.018776,24.42659,4.354952,1694881945119
57.837574,26.906672,5.665122,1694881945180
-14.290247,-9.013028,10.650728,1694881945246
-14.880246,-9.304422,10.509913,1694881945308
-14.823564,-7.940958,11.38094,1694881945370
-16.029848,-6.93822,11.863558,1694881945433
-2.6080709,-5.3401165,4.9026313,1694881945498
-2.8023605,-4.7725973,5.0215783,1694881945562
-2.1611366,-4.8284845,5.052794,1694881945624
49.984108,21.857813,38.101498,1694881945686
49.38725,21.71126,37.97788,1694881945751
49.420673,20.389685,37.396168,1694881945813
-1.5616542,-3.5752053,0.97840166,1694881945881
-1.5717175,-4.926426,0.03588295,1694881945939
-1.2052779,-5.4347453,-0.37218904,1694881946003
-1.1740974,-6.0412407,-0.99894524,1694881946064
-2.957667,-10.562717,-1.1474218,1694881946126
-2.5850763,-11.359662,-2.298666,1694881946189
-2.5472443,-11.696145,-2.898621,1694881946253
4.040735,-1.0448694,7.620459,1694881946315
3.823429,-1.1683226,7.393745,1694881946378
3.9644291,-1.2181549,7.2387295,1694881946443
16.601398,3.0323124,12.462757,1694881946505
16.766233,2.9549904,12.117868,1694881946568
17.199656,3.2019186,13.114425,1694881946632
16.91413,3.470109,13.890744,1694881946694
-7.382153,-7.0054283,-1.7817066,1694881946756
-7.413122,-6.10266,0.15661287,1694881946817
-8.390803,-5.9798393,0.0063033104,1694881946882
-6.7263393,-8.6188345,3.6115963,1694881946942
-7.5497093,-7.838606,4.0742865,1694881947007
-8.443748,-8.298119,2.8585746,1694881947068
-4.574898,-1.3002563,-1.4551816,1694881947134
-4.098631,-1.6723776,-1.6351907,1694881947196
-4.2728214,-1.7525053,-2.1388214,1694881947262
-4.6042356,-1.7976046,-3.0516367,1694881947326
6.397606,4.075762,8.734306,1694881947391
6.955972,4.0726357,6.746064,1694881947452
7.157854,4.8266287,4.574071,1694881947514
-2.2831616,-5.796476,6.4529886,1694881947578
-1.6022849,-5.277122,5.5258884,1694881947640
-1.266978,-5.051396,5.1848907,1694881947704
-0.9989316,-1.7543063,1.7811747,1694881947767
-0.6574791,-1.5036712,1.4995708,1694881947832
-0.35809296,-1.3910112,1.3647447,1694881947898
0.004653752,-1.1861758,1.170135,1694881947964
-2.137937,-1.039629,1.131979,1694881948023

