x_acc,y_acc,z_acc,time
-0.06171751,-0.053917885,0.028048515,1694881695658
-0.25602484,0.12548447,0.05612731,1694881695709
-0.24903488,0.12520218,0.06814504,1694881695762
-0.24875736,0.12522316,0.0687387,1694881695826
-0.24654579,0.12318039,0.06656742,1694881695891
-0.12978506,0.09012318,-0.08626604,1694881695956
-0.16667795,0.12207699,-0.05664754,1694881696019
-0.2022767,0.11738968,-0.13633466,1694881696083
0.33725882,0.2028141,1.4788988,1694881696147
0.47632456,0.15009499,1.5732818,1694881696211
0.34389544,0.29991436,1.7946913,1694881696276
1.3290424,3.8111196,0.15733933,1694881696339
1.3543801,3.8983378,0.5291393,1694881696406
0.8535905,4.092376,0.23489285,1694881696468
0.034998655,4.542166,0.5651164,1694881696530
-0.047509193,-6.488616,-3.8263946,1694881696596
-0.8554474,-6.294613,-3.6791937,1694881696659
-1.0201925,-6.2662344,-3.6627278,1694881696723
-0.1823914,0.375762,-5.3892426,1694881696787
-1.0538516,0.47849274,-4.9062824,1694881696854
-2.2334075,0.41762733,-5.0691404,1694881696914
-4.612319,2.5708117,-0.28102648,1694881696978
-4.3186116,2.5481753,-0.69409394,1694881697042
-4.420895,2.4704242,-1.0487311,1694881697106
-5.1406155,2.2922635,-1.3264269,1694881697170
0.6884706,1.7491784,1.5180738,1694881697233
0.030421257,1.4675269,1.2683895,1694881697297
-0.4284389,1.2246833,1.072303,1694881697360
-6.9968414,-10.611523,-4.819854,1694881697424
-6.2165527,-10.121847,-3.6376276,1694881697489
-5.6490335,-9.897942,-2.0896218,1694881697551
-1.7526466,6.7848964,5.734169,1694881697614
-1.5130534,6.809898,5.820164,1694881697680
-1.309356,6.750214,6.417053,1694881697743
-1.6686108,6.7131763,6.3642416,1694881697807
-7.1228485,-5.4857254,4.916199,1694881697870
-6.3487496,-5.7459106,2.117735,1694881697934
-6.311219,-6.936141,-0.5100961,1694881697998
-2.3489864,-18.364193,-2.1410213,1694881698062
-3.8894086,-19.168797,-2.430838,1694881698127
-5.350795,-17.78756,-0.6363921,1694881698189
-0.6016338,14.044596,11.267813,1694881698251
-0.73218226,14.417345,12.230896,1694881698315
-1.1428387,14.817585,14.876679,1694881698379
0.3534665,-2.9648924,21.026505,1694881698443
-3.533629,6.7199645,5.665759,1694881698506
-2.6173067,6.809172,3.0950835,1694881698570
-3.0441647,5.7062626,0.78532934,1694881698634
-1.0818628,-22.69001,5.266363,1694881698697
-2.51235,-24.519161,4.530549,1694881698760
-4.728488,-24.05907,6.667334,1694881698823
-1.1265149,9.273817,-10.4423065,1694881698886
0.05095339,10.151251,-10.458113,1694881698950
0.62555313,10.470128,-10.482758,1694881699013
0.69969463,11.233112,-8.775631,1694881699077
-9.131275,-21.529797,7.054723,1694881699157
-9.616991,-22.027174,9.01183,1694881699204
-8.849154,-21.468056,5.8668795,1694881699268
2.586665,0.5511112,-3.2032075,1694881699330
3.4179158,-1.5597215,-6.4111433,1694881699393
1.7924638,-5.578495,-8.177776,1694881699459
-2.2373767,6.3537245,-15.835417,1694881699521
-3.2278137,8.738536,-13.715484,1694881699585
-2.9362278,11.169696,-10.629711,1694881699648
-2.918223,11.651478,-8.376464,1694881699711
-6.1847734,-7.366809,5.9344997,1694881699776
-7.0835495,-8.227737,7.708696,1694881699837
-7.1249995,-9.014959,9.590831,1694881699900
-8.226581,-5.178602,19.88722,1694881699963
-6.6357584,-3.651538,16.369617,1694881700028
-5.8929777,-4.0486956,13.616096,1694881700092
0.26579285,-21.941267,8.916224,1694881700153
-0.7550876,-24.631685,7.6455936,1694881700218
-1.8622506,-24.619053,8.328974,1694881700281
-2.233795,-22.574072,10.08322,1694881700346
-7.778903,8.434092,-11.8743925,1694881700408
-8.013634,8.524528,-11.013981,1694881700471
-7.6762557,8.839033,-10.666924,1694881700536
-8.259709,-25.06074,6.7987432,1694881700598
-8.180934,-25.146263,8.882526,1694881700664
-8.283085,-25.569702,10.073475,1694881700728
-14.082582,9.761387,-2.3131585,1694881700792
-12.698653,9.972387,-5.0508804,1694881700856
-12.721339,8.661866,-7.477561,1694881700917
-12.287075,6.3636403,-9.826614,1694881700983
-8.043374,-4.6430416,-4.646945,1694881701046
-8.685579,-3.9238348,-3.8556705,1694881701110
-9.052905,-1.4617052,-1.2717886,1694881701173
-0.6314049,3.9983299,35.43355,1694881701236
-0.42516947,4.342331,36.113926,1694881701300
-0.7841134,4.386174,37.50261,1694881701364
-6.013878,-5.9386063,9.627073,1694881701427
-6.1192904,-6.2462406,10.659109,1694881701491
-6.1665325,-5.9682493,9.189786,1694881701554
-0.88708663,-0.13561916,9.893427,1694881701618
-2.1549678,6.7976685,-3.27114,1694881701683
-1.8184431,6.883338,-3.4879985,1694881701744
-1.1528175,6.9018946,-4.1940217,1694881701807
