x_acc,y_acc,z_acc,time
-0.07176399,0.036076546,-0.23688483,1694891357276
-0.043055058,-0.073919296,-0.14525115,1694891357340
-0.08160138,-0.13481331,0.14138293,1694891357377
0.002988577,-0.027295113,0.115915656,1694891357431
-0.10843611,-0.0872488,0.41464293,1694891357483
-0.25921297,-0.2722149,0.8501377,1694891357535
0.28567696,1.5190897,1.0242755,1694891357587
-0.4443605,-0.3514614,0.7242372,1694891357639
-0.066726446,0.12987804,0.34515476,1694891357692
0.20890236,0.32239914,-0.4530394,1694891357749
0.32596183,5.0997295,-0.45836186,1694891357800
0.56722546,5.881258,-1.4577708,1694891357851
-0.6163559,0.70680046,-0.9370506,1694891357903
0.0762229,-0.1955471,-1.3783494,1694891357953
0.31963444,-1.8830023,-0.58453345,1694891358007
-1.4599224,-2.466649,-0.72786725,1694891358059
-1.9703332,-1.1120644,-0.1737988,1694891358111
-0.06301916,0.8130932,0.71415925,1694891358163
0.06008911,-0.49148083,0.4420733,1694891358216
-1.9298041,-3.7291775,-0.046049982,1694891358265
-0.65309775,-0.2615347,-0.9817002,1694891358318
-1.1683456,-0.0034856796,1.3859681,1694891358369
-0.845716,-0.12667179,1.3994099,1694891358419
-0.74134064,-0.5998306,1.7782819,1694891358472
-2.8347833,-1.1907091,-0.7420412,1694891358525
-4.5725126,-2.4717054,-1.6506842,1694891358578
-2.8787317,-0.45273304,-2.9944036,1694891358630
-3.582094,-2.872755,-3.7692409,1694891358682
-5.1260376,-0.34963894,-6.6810465,1694891358732
-4.0053463,-0.9631853,-6.973529,1694891358784
4.297233,-2.8088713,-4.7656727,1694891358837
4.485461,-2.572485,-1.9449717,1694891358890
3.4922936,-1.8990889,-3.4480457,1694891358942
3.4409003,0.70642424,-2.649015,1694891358995
2.0772674,2.5442352,-0.40319157,1694891359044
-0.27412492,2.106279,1.7835855,1694891359097
-3.9407933,3.5256667,4.5012555,1694891359149
-3.0137382,1.605135,4.140793,1694891359202
2.3769584,-7.0812054,-5.1140804,1694891359256
2.7169569,3.9325204,-5.67824,1694891359306
-1.5777068,-1.5772219,-5.0105963,1694891359360
-0.24005029,-4.367036,-0.8217583,1694891359412
1.474963,4.6134996,-0.6003859,1694891359464
0.7051785,4.9325795,1.2826527,1694891359518
