x_acc,y_acc,z_acc,time
0.15977144,-0.1882515,-0.17314267,1694883921672
-0.23143935,-0.11989689,0.23993051,1694883921711
-0.22954798,0.1545229,0.17881489,1694883921750
-0.2699976,-0.061561584,0.2066853,1694883921802
-0.18132186,0.022542953,0.1460576,1694883921855
0.08839846,0.8304024,0.65223634,1694883921909
0.9474628,3.0275774,0.6969483,1694883921960
-0.029911518,-1.3894587,0.69636273,1694883922012
0.24900532,3.6871872,-0.008484364,1694883922065
1.0584555,1.226376,0.07436228,1694883922116
1.4658048,-0.770401,0.4672227,1694883922170
0.0836544,0.1600895,0.74222493,1694883922222
-0.49551558,-0.18835545,1.1695249,1694883922273
-3.301047,-3.1390133,0.5029793,1694883922325
-1.2482495,-0.17490292,-0.023065329,1694883922377
2.933394,3.446581,1.4756358,1694883922429
2.7291584,3.3417516,-2.747174,1694883922481
-0.256927,-13.283375,-1.837189,1694883922535
-0.5569122,1.3299017,-2.0103657,1694883922587
0.22667956,0.30560493,0.11455321,1694883922637
-0.22302508,0.47576714,0.4699378,1694883922689
0.34481764,1.4025764,0.5947943,1694883922741
-0.36441028,1.1696348,1.3374183,1694883922793
-1.497938,0.27954483,0.94642615,1694883922845
-2.4249263,0.0064086914,-0.0159266,1694883922897
-0.5419203,-0.1380434,0.84011436,1694883922951
-1.8784423,-1.650177,2.5211635,1694883922999
-8.135347,-3.0329695,-0.21567965,1694883923051
-2.8621686,-3.8391628,1.2347441,1694883923104
4.0433116,-2.0796652,-0.6994301,1694883923157
5.1739283,-7.1801853,-1.8507173,1694883923208
2.6320202,-1.0557537,-3.267725,1694883923259
-1.4388695,1.4159966,-2.5682557,1694883923313
2.3810217,5.287221,-3.9184546,1694883923364
4.8931494,3.1846247,-4.337803,1694883923415
3.5014396,3.9913182,-1.962239,1694883923469
0.34155464,4.575309,4.086186,1694883923522
-11.2138405,-19.99943,5.600073,1694883923570
5.8262963,9.9261,0.62255,1694883923622
2.938281,3.511535,2.0187116,1694883923672
-3.8606887,-19.213356,-0.6064248,1694883923725
9.762543,5.7973948,-6.24874,1694883923779
-0.8262682,-8.854595,-5.8153305,1694883923830
-4.505049,-1.9811163,1.3225801,1694883923882
3.3332727,2.8191805,0.99607736,1694883923934
-0.08108711,2.2897177,0.5460353,1694883923985
-1.1849817,1.0883551,0.38913175,1694883924038
-0.89497423,0.5150986,1.3658942,1694883924092
-2.5165105,0.65287685,0.953316,1694883924144
-4.1406827,-0.80545425,0.093408346,1694883924196
-2.9042125,-2.86405,3.1299186,1694883924247
-0.41137838,-3.1228447,3.4823866,1694883924300
-4.9025335,-3.0307646,1.790617,1694883924352
4.251654,-4.415269,-1.608843,1694883924405
4.577285,-8.038387,0.39299393,1694883924456
0.06940436,0.13965416,-2.3553753,1694883924507
-0.62616706,1.4352403,-3.2689698,1694883924560
3.5428524,5.7973504,-4.8986373,1694883924611
5.021558,4.3606415,-4.9614334,1694883924664
3.3750188,4.246196,-2.0220075,1694883924720
0.7435856,1.931963,6.8670545,1694883924771
-5.8043404,-11.765417,1.3631003,1694883924823
1.3584075,10.753217,0.80853844,1694883924874
3.9399142,-13.288711,-9.3002825,1694883924926
7.2533216,2.0550241,-3.271936,1694883924978
4.4917746,3.6537561,-8.357342,1694883925032
-3.4912374,-0.29491234,0.1814673,1694883925083
2.6257513,4.0791755,-0.4396984,1694883925134
0.614129,3.2217832,0.61002684,1694883925185
-0.63905525,0.20737457,1.1435997,1694883925238
-1.4963841,0.466403,2.5237575,1694883925291
-2.2056386,-0.76579094,1.7191395,1694883925343
-5.0086484,0.2947607,0.8838962,1694883925392
-3.6466362,0.41769695,-1.2610407,1694883925444
-1.5136609,-4.741173,2.116991,1694883925496
-5.8565235,-2.711255,1.5180365,1694883925548
1.8983899,-1.0520239,-1.174623,1694883925601
8.772203,-9.988433,-4.7451954,1694883925652
-1.8198988,2.1514616,-2.2914495,1694883925704
0.1901455,1.140851,-3.898498,1694883925755
3.3352273,3.9182034,-3.3649197,1694883925806
4.8000236,3.9936252,-3.664397,1694883925858
3.4263418,4.2277403,-1.4146476,1694883925911
0.024317265,2.87641,4.906209,1694883925962
-13.5284,-18.418474,16.223598,1694883926012
1.6581204,8.939299,0.38638473,1694883926065
3.1982653,-12.979742,-10.848089,1694883926117
5.39073,3.239625,0.5479789,1694883926169
6.6270356,2.7448158,-7.8306684,1694883926221
-5.3669877,-4.0828133,-0.99976635,1694883926277
1.0340844,4.1248264,0.7695602,1694883926325
-0.30908525,2.0030317,0.8275217,1694883926381
-1.2241774,0.33492756,0.64176816,1694883926432
-1.1057794,0.45071125,1.9567721,1694883926484
-2.0447257,0.59506226,0.49982893,1694883926536
-3.7150857,0.53093433,1.1780461,1694883926586
-3.2680311,0.04519558,-1.1776849,1694883926637
0.7006066,-4.703845,4.087098,1694883926689
-5.8657207,-0.7421646,1.1782206,1694883926740
4.8895354,-3.578598,-1.5472004,1694883926792
9.899086,-11.035025,-1.9704201,1694883926846
1.6844432,-2.3110752,-2.5539484,1694883926901
0.94763875,2.9633365,-3.2321215,1694883926952
3.8002841,5.3069515,-3.3287983,1694883927003
4.304389,3.873549,-3.1233134,1694883927056
2.830999,3.0649095,-0.87107253,1694883927110
-3.1404521,-2.028039,7.340098,1694883927159
-8.960169,-13.598106,7.3591423,1694883927209
2.1259322,3.4032993,0.08586645,1694883927261
3.178856,-5.3857193,-3.3522842,1694883927313
6.3604565,2.9423795,-4.6975946,1694883927365
6.049286,2.3250704,-5.548444,1694883927421
-1.1870155,-5.4647007,-1.8276567,1694883927472
1.4355632,2.7161007,1.0809218,1694883927524
-1.4829308,1.8644781,0.6126002,1694883927577
-2.2547371,0.39951324,0.7741711,1694883927629
-1.1312382,0.13188744,1.2052888,1694883927679
-2.2709699,-0.45630264,2.5323262,1694883927731
-3.4165761,0.5761986,0.57949364,1694883927780
-3.0634682,-1.2192955,-0.22537827,1694883927833
2.4102483,-3.520032,4.4916697,1694883927884
-1.2321154,-3.427844,2.815664,1694883927936
3.4344668,-3.555066,-2.2706091,1694883927989
6.744483,-8.55001,-2.025866,1694883928040
1.4064783,-1.9295979,-2.998505,1694883928094
0.34621692,2.036924,-3.9098513,1694883928147
2.9378893,4.04749,-2.793274,1694883928196
4.0451465,4.8133802,-3.6003842,1694883928246
3.6624134,4.4605627,-1.6865829,1694883928299
1.0091943,4.0002847,3.166345,1694883928351
-3.9194558,-8.322991,3.4233785,1694883928402
3.5928679,6.9658575,0.32035065,1694883928458
0.065374136,-0.14577198,-0.75885963,1694883928508
4.944696,0.8112774,-6.323597,1694883928560
3.6662657,-3.1850672,-3.6879506,1694883928613
-4.470874,-2.9977493,-1.0260172,1694883928665
