x_acc,y_acc,z_acc,time
-0.07892513,-0.12053585,0.047375202,1694889317510
-0.053127766,0.008154869,-0.06641054,1694889317602
-0.090759754,-0.100800514,0.035717964,1694889317619
-0.1248734,-0.0786314,0.0645144,1694889317662
-0.28760338,0.09418678,-0.051032305,1694889317714
-0.1698978,-0.082240105,0.1549499,1694889317766
-0.15058565,-0.15431786,0.10022879,1694889317819
0.027616262,-0.14861584,0.31525803,1694889317871
-0.21173382,-0.341712,0.2920487,1694889317924
-0.084430456,-0.016738892,0.20723939,1694889317978
-0.3571229,1.685555,0.7784629,1694889318031
1.1096475,2.0529337,-0.1963687,1694889318082
-0.2655244,3.903029,-0.40414906,1694889318134
-0.007955074,2.8233433,-1.0190766,1694889318185
1.4684494,0.3947854,-0.4169817,1694889318238
1.3983142,-1.2741604,0.024638176,1694889318287
-0.12322068,-0.6976576,-0.42042494,1694889318338
-2.912404,-7.828665,0.45763946,1694889318391
-2.393912,-1.7622213,0.6071973,1694889318444
-0.056473073,-0.07269573,0.30471063,1694889318498
0.4485621,-0.19832134,0.4999714,1694889318550
0.11610372,-0.12898064,0.4732461,1694889318599
-1.2507105,0.28320026,0.52805495,1694889318652
-0.10845629,-0.7175827,1.1212802,1694889318704
0.23707792,-1.543642,0.5821099,1694889318756
1.8273374,-1.518692,0.31337953,1694889318809
2.9257278,0.74886036,-1.2848318,1694889318864
-1.4849865,-0.55275154,-0.4307754,1694889318913
0.10961561,0.81710243,-0.52060676,1694889318966
0.23183611,1.4208999,0.004025221,1694889319016
0.75598663,0.86087894,0.7083895,1694889319070
0.68168664,1.8091846,2.1241088,1694889319119
0.03991291,2.8054848,1.0705485,1694889319172
0.7341898,1.7831392,1.5509682,1694889319225
-1.3855865,-9.866627,1.6475654,1694889319279
2.122779,5.213176,-1.7413795,1694889319330
-0.41567883,-1.1701374,-2.598359,1694889319381
-1.2013993,-3.1020784,-1.363779,1694889319436
0.6802066,1.659852,-1.73627,1694889319486
-0.6788186,-1.8839025,-1.1108184,1694889319539
0.16135995,-0.25002003,-0.6448341,1694889319590
0.5442957,0.7397499,-0.8960289,1694889319641
-0.22622634,-0.5623045,-1.165654,1694889319694
0.5165593,-0.25183964,0.20495108,1694889319748
-0.22830573,-0.3673725,0.3678696,1694889319797
0.34353516,0.58500576,0.34825122,1694889319849
-0.1902985,0.5543699,0.36486366,1694889319902
-0.6798408,0.1741972,0.80200934,1694889319951
0.3893939,0.018163681,1.7123625,1694889320003
0.024235964,0.17553997,2.9556694,1694889320057
-3.83415,-4.9538364,-0.28883958,1694889320111
-0.62509084,-0.86029816,0.76598495,1694889320162
5.6155553,2.2454066,0.396052,1694889320210
2.6608467,-6.9060526,-2.5997262,1694889320262
0.71652055,-1.0378084,-2.3866482,1694889320315
-1.5838908,0.15344906,-1.160848,1694889320367
-0.4880762,0.017922401,-1.4409494,1694889320419
2.3262458,1.9489746,-1.7021785,1694889320472
0.020768166,2.2179904,-1.9899176,1694889320525
-0.65085584,1.1980443,-0.9316211,1694889320576
0.27997398,1.6909213,-0.024738312,1694889320628
0.9015659,1.5518322,0.8958781,1694889320679
0.6263788,-0.013774872,3.599804,1694889320735
-1.728418,-1.0639315,3.7325602,1694889320783
-2.4573112,1.7331142,0.84839344,1694889320836
0.97318995,-2.5833244,1.8942082,1694889320890
3.975081,1.165483,-1.8918747,1694889320942
-0.13276184,3.5927515,-2.574779,1694889320992
-1.4586806,-5.533803,-1.7145196,1694889321050
-1.1725864,-1.198883,0.16169894,1694889321096
0.3209808,0.8740864,-0.06148255,1694889321149
-0.4638995,0.28004456,0.4094144,1694889321201
-0.29427218,0.13809013,0.17258134,1694889321252
-0.13386583,0.025032997,-0.17020985,1694889321304
0.19470155,0.38562775,0.567517,1694889321358
0.33880258,0.22708702,0.20419362,1694889321409
0.27085674,0.11286545,0.95272315,1694889321461
-0.078998685,-0.35326385,1.0501931,1694889321515
0.1267333,-0.22816277,0.88264,1694889321570
0.3776554,-0.3001833,2.5149875,1694889321620
-0.69367814,-3.4757385,2.4889574,1694889321672
-2.907185,-5.5141954,-0.019649208,1694889321723
4.7142863,3.1619449,0.36640906,1694889321775
-0.42450345,-3.2467442,-1.5366918,1694889321827
-2.83818,-2.959278,-2.8001487,1694889321880
-1.4064949,-0.21721172,-1.268861,1694889321932
0.15747023,0.13803864,-0.8803724,1694889321985
0.7444742,1.8582592,-1.4559356,1694889322036
-1.0205091,2.0900083,-1.2347866,1694889322088
-0.8400315,2.4075842,-0.38828707,1694889322140
-7.355213E-5,1.7775311,1.4401002,1694889322195
-0.36071146,0.12791157,2.6914873,1694889322242
-1.1539125,-0.19815731,4.4472566,1694889322295
-1.3190755,-1.5449286,3.984928,1694889322345
-1.0128815,1.2904763,1.9087849,1694889322400
5.0234947,-18.126026,-5.49655,1694889322451
1.1529254,16.817635,-8.53116,1694889322502
-3.1165078,2.4800549,-5.760828,1694889322555
0.7136439,-12.997484,-2.6696665,1694889322611
1.5972024,1.5241241,-1.6300477,1694889322659
0.94671094,-0.9180088,-1.6231151,1694889322708
-0.760041,0.18700218,-0.14985579,1694889322762
-1.1557862,-0.083771706,0.3716294,1694889322813
0.28517997,0.907959,-0.04878149,1694889322868
1.0020453,0.7041712,0.38867673,1694889322919
0.4020543,0.683053,0.74274004,1694889322971
-0.24283445,0.32421875,1.9177258,1694889323024
-0.958097,-0.7665453,2.9420514,1694889323075
-1.5264294,-0.689126,2.784528,1694889323124
-0.19919729,-1.5840387,1.4666798,1694889323176
0.6680367,-3.5659046,-0.15849969,1694889323231
5.6859837,0.16587353,-2.5497599,1694889323280
1.248177,-2.7619658,-2.5517673,1694889323330
-2.6043525,-0.63223267,-1.761855,1694889323382
-1.9709558,0.6309881,-2.0412278,1694889323435
0.98532104,1.1154985,-0.75348043,1694889323486
1.4172714,1.3539786,-0.82441163,1694889323541
-0.17149448,1.6790609,-1.2071574,1694889323593
-0.66714716,1.0528297,-0.19892406,1694889323647
-0.92727816,0.5643873,1.1617112,1694889323697
