x_acc,y_acc,z_acc,time
-1.7018974,-0.026274681,-1.7803359,1694887951757
-0.16529286,0.39881206,-0.17711926,1694887951796
-0.15486372,0.13643146,-1.0864792,1694887951842
-0.017695606,-0.14962769,-1.1772919,1694887951896
0.2286725,0.1734097,-2.187264,1694887951950
0.47540194,-0.1648457,-2.2423258,1694887952002
0.024682999,0.21530604,-1.3424234,1694887952055
-0.022331238,-0.17929411,-2.927331,1694887952108
-0.2879988,0.49591184,0.046014786,1694887952161
1.6401026,-0.6972619,9.91077,1694887952213
1.1353289,-0.82596785,6.719904,1694887952268
1.4957378,0.7756624,-0.77907944,1694887952321
0.44695067,-0.52528876,-4.9174595,1694887952373
0.56216943,-0.2271002,-5.1520348,1694887952426
1.39955,-0.1377815,-3.3991675,1694887952481
0.98932093,-0.1292373,-2.4263124,1694887952533
0.82105756,-0.5960565,-2.381054,1694887952586
0.14384383,-0.07697284,9.704671,1694887952636
-1.6689976,-2.908207,7.2212315,1694887952688
-1.2206452,-2.413011,7.1912165,1694887952743
-1.2615246,-0.21597813,3.7056723,1694887952793
0.47920167,0.8894911,-3.0398345,1694887952848
1.1474575,-0.9423334,-2.600564,1694887952901
0.6477524,-1.5229839,-2.565714,1694887952953
0.5018859,-2.4679415,-3.9856591,1694887953006
-0.8188154,-1.2674161,0.5287676,1694887953059
-1.5613704,-0.3805458,7.350025,1694887953108
-1.9653878,-0.031416357,5.9060583,1694887953163
2.6598172,1.9350315,1.0853214,1694887953218
2.7607665,1.0064366,-1.7299395,1694887953268
1.8345329,0.5876374,-3.2981157,1694887953320
1.692609,0.077389896,-2.72788,1694887953376
1.5926455,-0.51434034,-1.352849,1694887953427
-0.43040204,-0.61688554,0.83549595,1694887953479
-2.1184416,-1.668272,5.3918104,1694887953532
-2.6016147,-2.3727446,8.550387,1694887953584
-2.7715006,-1.6116941,3.9022808,1694887953637
-0.899729,-0.03379923,-1.6741457,1694887953690
-0.6351222,0.17675883,-1.6648769,1694887953743
0.05842316,1.1294379,-2.9889421,1694887953798
0.99160546,-0.44492453,-1.5006409,1694887953851
0.6346403,-0.46591935,-0.06252289,1694887953901
-0.42559588,-1.181168,2.8680868,1694887953953
0.013296068,-1.6478517,4.084199,1694887954005
